title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Mudbound,movie,"Drama, War",2017,tt2396589,7.4,55351,"AD, AE, AL, AO, AT, AU, BA, BE, BG, BH, BM, BY, CA, CH, CI, CM, CV, CZ, DE, DK, DZ, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GQ, HK, HU, ID, IE, IL, IN, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NL, NO, NZ, OM, PF, PH, PK, PL, PS, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, TH, TN, TW, TZ, UG, US, YE, ZA, ZM, ZW"
Columbus,movie,Drama,2017,tt5990474,7.2,21593,KR
Well,movie,"Action, Adventure, Drama",2016,tt4606770,6.3,2991,HU
MeesterSpion,movie,"Adventure, Comedy, Family",2016,tt5528996,6.1,231,"AT, BG, CH, CZ, DE, EE, ES, GB, GR, HR, HU, IS, LT, LV, PL, PT, RO, SE, SI, SK"
Power Paandi,movie,"Action, Drama, Musical",2017,tt6734886,7.4,2227,"AG, AL, AO, AU, AZ, BA, BB, BG, BM, BS, BY, BZ, CA, CI, CU, CV, CZ, EE, FJ, GB, GF, GG, GH, GI, GR, HU, ID, IE, IN, IS, JM, KE, LC, LT, LV, MC, MD, ME, MG, MK, ML, MU, MY, MZ, NG, NZ, PA, PF, PH, PK, RO, RS, SC, SG, SI, SK, TC, TH, TT, TZ, US, ZA, ZM, ZW"
Detour,movie,"Comedy, Drama",2016,tt6419524,6.6,69,KR
Crazy Kingdom,movie,"Comedy, Family, Fantasy",2016,tt4721502,4.4,105,"CZ, SK"
Chhota Bheem and Ganesh in the Amazing Odyssey,movie,Animation,2012,tt6356352,8,83,"AG, AL, AU, AZ, BA, BB, BM, BS, BY, CA, DZ, FJ, GG, GI, HK, ID, IN, JM, KR, LC, MC, ME, MK, MU, MY, NZ, PH, PK, QA, RS, SC, TC, TH, TN, TT, US, ZA"
The Oddsockeaters,movie,"Adventure, Animation, Comedy",2016,tt5176632,5.7,318,"CZ, SK"
What the Health,movie,Documentary,2017,tt5541848,7.2,30751,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Forgotten Rules,movie,"Comedy, Crime",1991,tt1045160,7.2,57,"ID, MY, PH, TH"
Jandino: Whatever it Takes,movie,Comedy,2016,tt6999080,4.6,34,"AL, AU, BA, BG, BM, CV, CZ, EE, GB, GI, GR, IL, IS, JM, LC, LT, LV, MD, MK, NL, PH, PK, PL, RO, RS, SI, SK, TR, US, ZA"
Barcelona: A Love Untold,movie,"Drama, Romance",2016,tt5755912,6.6,882,PH
Virunga: Gorillas in Peril,movie,Documentary,2015,tt4677816,6.8,41,US
American Assassin,movie,"Action, Thriller",2017,tt1961175,6.2,93889,"AD, AL, AR, BA, BG, BO, BR, BZ, CA, CL, CO, CR, CZ, EC, ES, GT, HN, HR, HU, IT, ME, MK, MX, MY, NI, PA, PE, PY, RO, RS, SG, SI, SK, SM, SV, TH, US, UY, VE"
Smolensk,movie,"Drama, Thriller",2016,tt6038600,1.2,40234,"AT, BE, BG, BM, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PF, PL, PT, RO, SE, SI, SK, TC"
Schubert in Love: Vater werden ist (nicht) schwer,movie,Comedy,2016,tt5186874,5,429,LB
Every Christmas Has a Story,movie,"Comedy, Romance",2016,tt6215212,6.1,2029,CA
Based on a True Story,movie,"Drama, Mystery, Thriller",2017,tt5893264,5.7,7518,"AD, ES"
Roaring Currents: The Road of the Admiral,movie,"History, Documentary",2015,,,,HK
Laia,movie,Drama,2016,tt5101196,5.7,120,"AT, BE, BG, CH, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK"
Hotel Mumbai,movie,"Action, Drama, History",2018,tt5461944,7.6,73660,"AG, AR, AU, BB, BE, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, FJ, GT, HN, ID, JM, LC, MX, NI, NL, NZ, PA, PE, PH, PY, SV, TC, TT, UY, VE"
Rocco,movie,Documentary,2016,tt5788462,5.7,4371,"GR, MD"
Arctic Dogs,movie,"Adventure, Animation, Comedy",2019,tt4426464,4.8,2331,"AD, AG, AR, AT, BB, BO, BR, BZ, CH, CL, CO, CR, CU, DE, DO, EC, FR, GF, GT, HN, JM, KR, LC, LI, LU, MC, MU, MX, NI, PA, PE, PF, PY, SV, TC, TT, UY, VE"
The Quake,movie,"Action, Drama, Thriller",2018,tt6523720,6.2,15194,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, DK, DO, EC, FI, GF, GT, HN, JM, LC, MX, NI, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"
The White Helmets,movie,"Documentary, Short, War",2016,tt6073176,7.5,8275,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
